name_of_the_school,picture_of_the_school,latitude,longitude,elevation,geocode,school_registration_number,name_of_the_province,name_of_the_tikina,school_level,type_of_school,school_ownership,number_of_girls_enrolled,number_of_boys_enrolled,total_three_star_score,daily_cleaning_of_toilets_and_surroundings,toilet_functionality,wash_basin_functionality,rubbish_collection_and_disposal,cleaning_equipment,toilet_hygiene_plan,wash_maintenance_plan,toilet_education_and_behaviour,supply_of_toilet_paper_and_mentrual_pads,community_support,hand_washing_activities,hygiene_education_and_behaviour,availability_of_water,water_quality
Naqia SDA Primary School,https://akvoflow-59.s3.amazonaws.com/images/9227906b-8458-4385-9a82-c7e8aa11d5ae.jpg,-17.68368287,178.3487083,101,69nrrjyyn,2546,Tailevu,Wainibuka,Primary,Co-education,Church,48,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nasautoka District School,https://akvoflow-59.s3.amazonaws.com/images/d1025cee-78a3-4e89-9ee2-c783fa5ab95e.jpg,-17.72539483,178.3796098,108,6a6xkm16c,2523,Tailevu,Nasautoka,Primary,Co-education,Government,56,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
davuilevu methodist school,https://akvoflow-59.s3.amazonaws.com/images/26b27fd3-a51e-4118-9169-9289646a727d.jpg,-18.05105414,178.5027102,124,6ecje62bn,1883,Tailevu,naitasiri,Primary,Co-education,Church|Government,173,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
narere primary,https://akvoflow-59.s3.amazonaws.com/images/1cf65ce0-4795-4a08-8dbb-e73aed9956c0.jpg,-18.08625201,178.4994417,55,6espjc84i,2391,Tailevu,naitasiri,Primary,Co-education,committee religious,184,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dakuivuna Village School,https://akvoflow-59.s3.amazonaws.com/images/388d5e5e-787d-4d91-85f1-0ce4fbbb9b91.jpg,-17.78018624,178.4314576,251,6aw3p5w56,2526,Tailevu,Wainibuka,Primary,Co-education,School Committee,45,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
naivicula district school,https://akvoflow-59.s3.amazonaws.com/images/98729df2-fede-425f-b524-24c92b98cf1d.jpg,-17.75810459,178.4936698,122.8,6alyjavl4,2540,Tailevu,naloto,Primary,Co-education,school committee,48,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ratu Sauvoli Memorial Primary School,https://akvoflow-59.s3.amazonaws.com/images/ca1a13c6-ef2c-402b-80f6-60f356a0304f.jpg,-18.10034369,178.5998108,84,6ez6k5uha,2107,Tailevu,"Noco, Rewa",Primary,Co-education,community,116,158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nakelo District School,https://akvoflow-59.s3.amazonaws.com/images/573bbccd-1e20-463b-978b-4650a0ba3219.jpg,-18.05727529,178.5951775,71,6efe9e9r3,2516,Tailevu,Nakelo,Primary,Co-education,community,208,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nausori Primary School,https://akvoflow-59.s3.amazonaws.com/images/eb1eaf65-c649-4bc2-b921-cda6d76da07f.jpg,-18.02284171,178.5256073,69,6dzkunv6w,2501,Tailevu,Nausori,Primary,Co-education,Committee,203,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sila Central High School,https://akvoflow-59.s3.amazonaws.com/images/41602dae-a117-4946-be85-1b0ede657282.jpg,-18.02786577,178.5354157,78,6e1vvfw22,2560,Tailevu,Nausori,Secondary (I-X or VI-X),Co-education,Government,314,356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vugalei district school,https://akvoflow-59.s3.amazonaws.com/images/ec2c6094-91fa-4fd5-b80f-3a71a83a6ccf.jpg,-17.91413116,178.5610504,61,6clmzjami,2533,Tailevu,vugalei,Primary,Co-education,committee,90,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nailagotabua primary school,https://akvoflow-59.s3.amazonaws.com/images/5d823343-6969-4533-8479-636c945e9194.jpg,-17.84772105,178.6022556,88,6br4oqizq,2566,Tailevu,verata,Primary,Co-education,committee,52,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1